ième partie,n_tours,temps_ms,scores[0],scores[1],victoires
1,6,0.13,11,10,0.000000
2,17,0.23,30,28,0.000000
3,15,0.21,30,30,0.500000
4,5,0.12,10,10,0.500000
5,9,0.14,17,16,0.000000
6,3,0.17,5,4,0.000000
7,9,0.23,18,18,0.500000
8,3,0.17,2,0,0.000000
9,12,0.30,24,24,0.500000
10,7,0.20,14,14,0.500000
11,8,0.17,16,16,0.500000
12,20,0.30,34,32,0.000000
13,10,0.20,16,14,0.000000
14,16,0.20,28,28,0.500000
15,12,0.21,22,20,0.000000
16,8,0.19,10,6,0.000000
17,16,0.36,32,32,0.500000
18,20,0.25,40,40,0.500000
19,4,0.22,6,4,0.000000
20,16,0.23,28,26,0.000000
21,14,0.22,25,24,0.000000
22,8,0.23,13,12,0.000000
23,20,0.36,40,40,0.500000
24,17,0.21,34,34,0.500000
25,6,0.16,9,6,0.000000
26,6,0.16,9,6,0.000000
27,14,0.19,22,22,0.500000
28,18,0.22,36,36,0.500000
29,7,0.17,14,14,0.500000
30,6,0.20,9,6,0.000000
31,13,0.19,26,26,0.500000
32,8,0.38,16,16,0.500000
33,19,0.47,37,36,0.000000
34,17,0.26,34,34,0.500000
35,16,0.34,32,32,0.500000
36,16,0.23,32,32,0.500000
37,7,0.20,11,8,0.000000
38,14,0.12,28,28,0.500000
39,12,0.10,23,22,0.000000
40,13,0.11,20,12,0.000000
41,16,0.12,32,32,0.500000
42,12,0.11,20,16,0.000000
43,20,0.15,40,40,0.500000
44,19,0.14,35,32,0.000000
45,9,0.09,18,18,0.500000
46,5,0.06,10,10,0.500000
47,13,0.11,26,26,0.500000
48,13,0.20,26,26,0.500000
49,18,0.19,35,34,0.000000
50,11,0.11,22,22,0.500000
51,6,0.08,12,12,0.500000
52,6,0.08,12,12,0.500000
53,3,0.06,6,6,0.500000
54,4,0.06,3,0,0.000000
55,18,0.12,32,30,0.000000
56,20,0.36,40,40,0.500000
57,5,0.16,10,10,0.500000
58,11,0.20,20,18,0.000000
59,16,0.22,32,32,0.500000
60,15,0.22,30,30,0.500000
61,13,0.21,26,26,0.500000
62,8,0.17,16,16,0.500000
63,17,0.14,34,34,0.500000
64,15,0.19,30,30,0.500000
65,14,0.20,27,26,0.000000
66,5,0.07,8,8,0.500000
67,18,0.13,36,36,0.500000
68,11,0.10,22,22,0.500000
69,18,0.27,36,36,0.500000
70,10,0.10,19,18,0.000000
71,11,0.18,19,18,0.000000
72,14,0.20,23,22,0.000000
73,18,0.23,33,32,0.000000
74,11,0.28,22,22,0.500000
75,6,0.18,12,12,0.500000
76,12,0.20,24,24,0.500000
77,10,0.24,20,20,0.500000
78,18,0.14,36,36,0.500000
79,15,0.12,30,30,0.500000
80,14,0.21,24,24,0.500000
81,19,0.24,38,38,0.500000
82,17,0.13,27,24,0.000000
83,20,3.13,39,38,0.000000
84,14,0.13,24,20,0.000000
85,10,0.22,18,16,0.000000
86,8,0.22,13,12,0.000000
87,14,0.23,26,24,0.000000
88,7,0.43,13,12,0.000000
89,16,0.22,26,22,0.000000
90,18,0.14,36,36,0.500000
91,15,0.12,30,30,0.500000
92,13,0.10,26,26,0.500000
93,6,0.07,12,12,0.500000
94,4,0.06,1,0,0.000000
95,17,0.21,30,28,0.000000
96,3,0.10,4,2,0.000000
97,11,0.24,18,18,0.500000
98,4,0.08,6,4,0.000000
99,12,0.22,21,18,0.000000
100,6,0.45,12,12,0.500000
101,10,0.22,20,20,0.500000
102,10,0.09,16,12,0.000000
103,7,0.07,14,14,0.500000
104,3,0.06,5,4,0.000000
105,14,0.28,27,26,0.000000
106,20,0.26,39,38,0.000000
107,14,0.12,27,26,0.000000
108,11,0.10,22,22,0.500000
109,6,0.08,8,8,0.500000
110,4,0.06,5,2,0.000000
111,6,0.16,12,12,0.500000
112,15,0.12,30,30,0.500000
113,8,0.09,14,12,0.000000
114,15,0.12,30,30,0.500000
115,17,0.25,34,34,0.500000
116,6,0.08,12,12,0.500000
117,17,0.43,32,30,0.000000
118,17,0.24,34,34,0.500000
119,15,0.26,30,30,0.500000
120,14,0.20,28,28,0.500000
121,9,0.18,18,18,0.500000
122,18,0.24,35,34,0.000000
123,5,0.18,10,10,0.500000
124,20,0.14,40,40,0.500000
125,17,0.26,32,30,0.000000
126,20,0.16,40,40,0.500000
127,3,0.08,6,6,0.500000
128,16,0.25,32,32,0.500000
129,5,0.16,9,8,0.000000
130,8,0.20,16,16,0.500000
131,15,0.29,30,30,0.500000
132,13,0.12,26,26,0.500000
133,19,0.14,36,34,0.000000
134,19,0.24,35,32,0.000000
135,18,0.32,36,36,0.500000
136,20,0.15,40,40,0.500000
137,5,0.07,10,10,0.500000
138,11,0.10,17,12,0.000000
139,12,0.23,24,24,0.500000
140,16,0.16,31,30,0.000000
141,8,0.18,12,8,0.000000
142,15,0.22,30,30,0.500000
143,18,0.35,34,32,0.000000
144,6,0.23,12,12,0.500000
145,14,0.10,28,28,0.500000
146,8,0.11,13,10,0.000000
147,20,0.14,37,34,0.000000
148,8,0.15,16,16,0.500000
149,10,0.32,18,16,0.000000
150,11,0.24,22,22,0.500000
151,7,0.21,14,14,0.500000
152,15,0.47,26,24,0.000000
153,11,0.20,13,4,0.000000
154,7,1.39,9,4,0.000000
155,13,0.26,26,26,0.500000
156,19,3.84,34,34,0.500000
157,8,0.22,10,4,0.000000
158,3,0.17,5,4,0.000000
159,19,0.14,34,32,0.000000
160,5,0.08,8,6,0.000000
161,20,0.37,40,40,0.500000
162,12,0.27,24,24,0.500000
163,10,0.11,18,16,0.000000
164,16,0.12,32,32,0.500000
165,10,0.31,20,20,0.500000
166,9,0.09,18,18,0.500000
167,3,0.06,6,6,0.500000
168,7,0.07,14,14,0.500000
169,9,0.16,18,18,0.500000
170,19,0.28,38,38,0.500000
171,5,0.07,10,10,0.500000
172,10,0.09,20,20,0.500000
173,5,0.07,10,10,0.500000
174,20,0.16,36,36,0.500000
175,4,0.17,8,8,0.500000
176,10,0.22,14,12,0.000000
177,12,0.13,24,24,0.500000
178,9,0.10,15,12,0.000000
179,13,0.11,26,26,0.500000
180,6,0.07,12,12,0.500000
181,14,0.30,28,28,0.500000
182,13,0.33,26,26,0.500000
183,14,0.24,25,22,0.000000
184,4,0.17,8,8,0.500000
185,4,0.17,4,2,0.000000
186,3,0.16,6,6,0.500000
187,6,0.18,11,10,0.000000
188,4,0.17,8,8,0.500000
189,15,0.22,30,30,0.500000
190,8,0.19,16,16,0.500000
191,14,0.19,28,28,0.500000
192,13,0.11,26,26,0.500000
193,4,0.05,5,4,0.000000
194,7,0.07,14,14,0.500000
195,19,0.30,33,28,0.000000
196,20,0.28,40,40,0.500000
197,12,0.21,16,10,0.000000
198,14,0.38,26,24,0.000000
199,9,0.22,12,6,0.000000
200,16,1.12,32,32,0.500000
201,13,0.58,24,22,0.000000
202,16,1.45,29,26,0.000000
203,10,0.46,18,16,0.000000
204,13,0.33,22,20,0.000000
205,6,0.54,11,10,0.000000
206,7,0.10,10,10,0.500000
207,18,0.15,36,36,0.500000
208,18,0.14,30,28,0.000000
209,13,0.11,25,24,0.000000
210,3,0.05,5,4,0.000000
211,8,0.08,16,16,0.500000
212,9,0.17,18,18,0.500000
213,12,0.11,24,24,0.500000
214,16,0.21,27,24,0.000000
215,4,0.19,8,8,0.500000
216,5,0.10,8,6,0.000000
217,11,0.18,22,22,0.500000
218,12,0.10,20,20,0.500000
219,13,0.20,26,26,0.500000
220,17,0.25,33,32,0.000000
221,14,0.20,28,28,0.500000
222,8,0.35,14,12,0.000000
223,10,0.09,17,14,0.000000
224,11,0.21,22,22,0.500000
225,13,0.21,26,26,0.500000
226,18,0.14,36,36,0.500000
227,16,0.16,28,26,0.000000
228,11,0.25,20,20,0.500000
229,9,0.10,13,10,0.000000
230,6,0.18,12,12,0.500000
231,20,0.34,40,40,0.500000
232,14,0.21,25,22,0.000000
233,3,0.06,5,4,0.000000
234,15,0.11,30,30,0.500000
235,5,0.06,10,10,0.500000
236,13,0.11,22,18,0.000000
237,15,0.29,30,30,0.500000
238,4,0.16,8,8,0.500000
239,14,0.22,25,24,0.000000
240,5,0.07,7,6,0.000000
241,10,0.18,18,16,0.000000
242,9,0.10,16,16,0.500000
243,19,0.24,38,38,0.500000
244,6,0.23,12,12,0.500000
245,10,0.29,20,20,0.500000
246,17,0.28,34,34,0.500000
247,18,1.27,34,32,0.000000
248,17,3.15,28,28,0.500000
249,17,0.34,34,34,0.500000
250,18,0.24,34,32,0.000000
251,13,0.41,23,20,0.000000
252,9,1.72,18,18,0.500000
253,10,0.52,20,20,0.500000
254,11,0.12,17,14,0.000000
255,4,0.34,3,2,0.000000
256,14,0.32,28,28,0.500000
257,13,0.14,26,26,0.500000
258,18,0.22,36,36,0.500000
259,10,0.10,20,20,0.500000
260,6,0.07,12,12,0.500000
261,12,0.37,22,20,0.000000
262,20,0.14,40,40,0.500000
263,7,1.53,7,6,0.000000
264,4,0.65,8,8,0.500000
265,11,0.09,22,22,0.500000
266,9,0.30,18,18,0.500000
267,13,0.22,25,24,0.000000
268,17,0.23,34,34,0.500000
269,15,0.15,26,26,0.500000
270,13,0.22,26,26,0.500000
271,14,0.15,28,28,0.500000
272,6,0.19,5,4,0.000000
273,15,0.24,30,30,0.500000
274,7,0.19,14,14,0.500000
275,9,0.20,13,12,0.000000
276,12,0.20,24,24,0.500000
277,20,0.26,40,40,0.500000
278,4,0.11,6,4,0.000000
279,12,0.22,23,22,0.000000
280,6,0.08,10,8,0.000000
281,16,0.30,32,32,0.500000
282,17,0.32,34,34,0.500000
283,19,0.31,36,34,0.000000
284,15,0.31,30,30,0.500000
285,19,0.25,35,32,0.000000
286,19,0.29,28,26,0.000000
287,12,0.10,24,24,0.500000
288,9,0.09,17,16,0.000000
289,18,0.23,36,36,0.500000
290,10,0.20,20,20,0.500000
291,15,0.28,30,30,0.500000
292,19,0.15,38,38,0.500000
293,4,0.08,8,8,0.500000
294,13,0.21,26,26,0.500000
295,12,0.20,24,24,0.500000
296,14,0.23,28,28,0.500000
297,8,0.19,14,12,0.000000
298,11,0.21,22,22,0.500000
299,16,0.23,32,32,0.500000
300,13,0.21,26,26,0.500000
301,3,0.24,6,6,0.500000
302,17,0.28,34,34,0.500000
303,20,0.30,38,38,0.500000
304,3,0.40,6,6,0.500000
305,3,0.17,4,2,0.000000
306,11,1.36,20,18,0.000000
307,14,0.23,28,28,0.500000
308,12,0.22,24,24,0.500000
309,13,0.12,26,26,0.500000
310,8,2.79,16,16,0.500000
311,6,0.08,12,12,0.500000
312,18,0.22,25,18,0.000000
313,11,0.10,17,14,0.000000
314,17,1.93,34,34,0.500000
315,20,0.33,36,32,0.000000
316,20,0.25,40,40,0.500000
317,3,0.16,6,6,0.500000
318,11,0.15,19,16,0.000000
319,19,0.26,38,38,0.500000
320,9,0.31,18,18,0.500000
321,4,0.21,8,8,0.500000
322,19,0.26,38,38,0.500000
323,19,0.16,38,38,0.500000
324,17,0.41,34,34,0.500000
325,11,0.14,19,16,0.000000
326,9,0.23,16,16,0.500000
327,12,0.15,24,24,0.500000
328,4,0.36,5,2,0.000000
329,20,0.14,38,36,0.000000
330,17,0.37,32,30,0.000000
331,7,0.08,12,12,0.500000
332,17,0.17,27,22,0.000000
333,19,0.26,38,38,0.500000
334,18,0.30,35,34,0.000000
335,18,0.14,34,32,0.000000
336,6,0.18,7,2,0.000000
337,17,0.28,34,34,0.500000
338,12,0.20,22,22,0.500000
339,9,0.09,18,18,0.500000
340,8,0.08,14,12,0.000000
341,9,0.18,15,12,0.000000
342,16,0.13,32,32,0.500000
343,10,0.09,9,2,0.000000
344,14,0.34,26,24,0.000000
345,9,0.20,18,18,0.500000
346,14,1.09,28,28,0.500000
347,6,0.23,12,12,0.500000
348,18,0.28,36,36,0.500000
349,7,1.02,9,8,0.000000
350,5,0.17,10,10,0.500000
351,6,0.40,12,12,0.500000
352,11,0.47,22,22,0.500000
353,9,0.39,12,12,0.500000
354,5,0.19,10,10,0.500000
355,11,0.22,19,18,0.000000
356,20,0.17,40,40,0.500000
357,11,0.34,18,16,0.000000
358,19,0.32,37,36,0.000000
359,14,0.22,28,28,0.500000
360,16,0.23,32,32,0.500000
361,18,0.15,36,36,0.500000
362,6,0.18,10,8,0.000000
363,8,0.09,16,16,0.500000
364,8,0.08,16,16,0.500000
365,17,0.33,34,34,0.500000
366,12,0.15,22,20,0.000000
367,8,0.20,14,12,0.000000
368,16,0.36,32,32,0.500000
369,8,0.26,14,12,0.000000
370,16,0.38,30,28,0.000000
371,15,0.27,30,30,0.500000
372,5,0.19,10,10,0.500000
373,14,0.26,24,20,0.000000
374,5,0.31,10,10,0.500000
375,6,0.25,8,6,0.000000
376,6,0.21,12,12,0.500000
377,15,0.53,30,30,0.500000
378,20,0.52,35,34,0.000000
379,4,0.23,8,8,0.500000
380,19,0.30,38,38,0.500000
381,7,0.21,12,10,0.000000
382,3,0.16,4,2,0.000000
383,3,0.23,3,2,0.000000
384,15,0.22,24,20,0.000000
385,8,0.18,16,16,0.500000
386,10,0.21,20,20,0.500000
387,14,0.21,26,26,0.500000
388,10,0.18,20,20,0.500000
389,5,0.07,8,6,0.000000
390,4,0.16,8,8,0.500000
391,15,0.20,23,22,0.000000
392,20,0.18,40,40,0.500000
393,3,0.16,6,6,0.500000
394,15,0.23,30,30,0.500000
395,9,0.22,18,18,0.500000
396,10,0.29,18,16,0.000000
397,17,0.29,32,30,0.000000
398,16,0.33,29,26,0.000000
399,16,0.23,30,28,0.000000
400,13,0.22,25,24,0.000000
401,10,0.39,15,10,0.000000
402,14,0.25,28,28,0.500000
403,20,0.17,40,40,0.500000
404,5,0.08,10,10,0.500000
405,7,0.17,12,10,0.000000
406,10,0.16,18,16,0.000000
407,13,0.71,26,26,0.500000
408,15,0.60,29,28,0.000000
409,9,0.25,14,10,0.000000
410,4,0.09,4,4,0.500000
411,16,0.22,32,32,0.500000
412,20,0.14,36,34,0.000000
413,18,0.24,32,28,0.000000
414,6,0.23,12,12,0.500000
415,18,0.21,34,32,0.000000
416,6,0.18,7,6,0.000000
417,13,0.20,26,26,0.500000
418,7,0.07,14,14,0.500000
419,19,0.13,36,34,0.000000
420,20,0.15,35,34,0.000000
421,17,0.24,30,26,0.000000
422,11,0.29,19,18,0.000000
423,15,0.22,30,30,0.500000
424,14,0.38,28,28,0.500000
425,11,0.21,22,22,0.500000
426,13,0.21,24,22,0.000000
427,17,0.24,32,30,0.000000
428,12,0.12,24,24,0.500000
429,19,0.15,38,38,0.500000
430,13,0.13,26,26,0.500000
431,17,0.14,30,26,0.000000
432,13,0.14,23,20,0.000000
433,13,0.26,23,20,0.000000
434,4,0.16,8,8,0.500000
435,13,0.20,24,24,0.500000
436,6,0.18,10,8,0.000000
437,9,0.19,18,18,0.500000
438,4,0.16,8,8,0.500000
439,13,0.28,26,26,0.500000
440,6,0.21,10,10,0.500000
441,5,0.17,9,8,0.000000
442,11,0.27,22,22,0.500000
443,13,0.22,24,22,0.000000
444,10,0.20,20,20,0.500000
445,20,0.44,37,34,0.000000
446,17,0.24,30,26,0.000000
447,18,0.25,29,20,0.000000
448,9,0.27,13,12,0.000000
449,17,0.25,29,24,0.000000
450,14,0.21,22,22,0.500000
451,14,0.22,28,28,0.500000
452,13,0.13,25,24,0.000000
453,10,0.21,15,14,0.000000
454,15,0.12,27,24,0.000000
455,15,0.11,26,26,0.500000
456,20,0.14,40,40,0.500000
457,17,0.12,34,34,0.500000
458,10,0.09,20,20,0.500000
459,3,0.05,4,2,0.000000
460,18,0.22,36,36,0.500000
461,3,0.25,5,4,0.000000
462,3,0.07,6,6,0.500000
463,10,0.26,20,20,0.500000
464,16,0.13,29,28,0.000000
465,7,0.21,11,8,0.000000
466,10,0.41,20,20,0.500000
467,12,0.11,24,24,0.500000
468,11,1.31,20,18,0.000000
469,8,1.37,14,12,0.000000
470,6,0.19,8,8,0.500000
471,16,0.23,32,32,0.500000
472,9,0.27,18,18,0.500000
473,4,0.17,6,4,0.000000
474,20,0.40,39,38,0.000000
475,15,0.20,30,30,0.500000
476,9,0.09,18,18,0.500000
477,7,0.07,11,10,0.000000
478,14,0.11,28,28,0.500000
479,7,0.08,14,14,0.500000
480,7,0.08,14,14,0.500000
481,9,0.08,15,14,0.000000
482,8,0.08,16,16,0.500000
483,6,0.07,12,12,0.500000
484,8,0.08,16,16,0.500000
485,10,0.09,17,14,0.000000
486,6,0.06,12,12,0.500000
487,6,0.07,9,6,0.000000
488,8,0.20,14,12,0.000000
489,16,0.12,32,32,0.500000
490,14,0.11,23,22,0.000000
491,6,0.08,12,12,0.500000
492,10,0.09,20,20,0.500000
493,11,0.10,22,22,0.500000
494,14,0.11,24,22,0.000000
495,20,0.36,35,34,0.000000
496,19,0.13,38,38,0.500000
497,8,0.08,16,16,0.500000
498,10,0.09,18,16,0.000000
499,19,2.89,36,34,0.000000
500,14,0.83,28,28,0.500000
