n,P_approx_2(2.3.n)
1,0.000000
2,0.500000
3,0.000000
4,0.000000
5,0.400000
6,0.500000
7,0.000000
8,0.500000
9,0.222222
10,0.100000
11,0.363636
12,0.083333
13,0.153846
14,0.285714
15,0.200000
16,0.250000
17,0.411765
18,0.166667
19,0.315789
20,0.350000
21,0.238095
22,0.181818
23,0.434783
24,0.375000
25,0.280000
26,0.192308
27,0.296296
28,0.178571
29,0.172414
30,0.333333
31,0.225806
32,0.281250
33,0.333333
34,0.235294
35,0.285714
36,0.305556
37,0.189189
38,0.342105
39,0.230769
40,0.250000
41,0.219512
42,0.095238
43,0.232558
44,0.272727
45,0.288889
46,0.347826
47,0.297872
48,0.270833
49,0.224490
50,0.240000
51,0.274510
52,0.269231
53,0.320755
54,0.259259
55,0.236364
56,0.303571
57,0.228070
58,0.224138
59,0.372881
60,0.233333
61,0.262295
62,0.193548
63,0.285714
64,0.281250
65,0.230769
66,0.212121
67,0.253731
68,0.220588
69,0.318841
70,0.328571
71,0.140845
72,0.375000
73,0.328767
74,0.364865
75,0.333333
76,0.315789
77,0.259740
78,0.243590
79,0.303797
80,0.225000
81,0.123457
82,0.195122
83,0.289157
84,0.250000
85,0.282353
86,0.244186
87,0.287356
88,0.272727
89,0.337079
90,0.266667
91,0.197802
92,0.260870
93,0.279570
94,0.287234
95,0.252632
96,0.312500
97,0.226804
98,0.367347
99,0.313131
100,0.250000
101,0.316832
102,0.294118
103,0.262136
104,0.336538
105,0.285714
106,0.311321
107,0.252336
108,0.277778
109,0.293578
110,0.263636
111,0.261261
112,0.223214
113,0.283186
114,0.236842
115,0.339130
116,0.301724
117,0.230769
118,0.279661
119,0.277311
120,0.350000
121,0.347107
122,0.295082
123,0.243902
124,0.225806
125,0.296000
126,0.174603
127,0.283465
128,0.218750
129,0.271318
130,0.300000
131,0.282443
132,0.287879
133,0.315789
134,0.298507
135,0.207407
136,0.286765
137,0.284672
138,0.224638
139,0.273381
140,0.278571
141,0.262411
142,0.246479
143,0.230769
144,0.284722
145,0.255172
146,0.232877
147,0.244898
148,0.250000
149,0.281879
150,0.293333
151,0.311258
152,0.263158
153,0.294118
154,0.305195
155,0.232258
156,0.250000
157,0.292994
158,0.202532
159,0.314465
160,0.318750
161,0.310559
162,0.277778
163,0.325153
164,0.243902
165,0.193939
166,0.277108
167,0.269461
168,0.255952
169,0.248521
170,0.247059
171,0.286550
172,0.250000
173,0.236994
174,0.298851
175,0.320000
176,0.284091
177,0.282486
178,0.230337
179,0.279330
180,0.316667
181,0.226519
182,0.285714
183,0.278689
184,0.250000
185,0.286486
186,0.284946
187,0.267380
188,0.244681
189,0.269841
190,0.263158
191,0.287958
192,0.218750
193,0.321244
194,0.273196
195,0.266667
196,0.290816
197,0.218274
198,0.232323
199,0.251256
200,0.300000
201,0.293532
202,0.242574
203,0.270936
204,0.269608
205,0.278049
206,0.262136
207,0.231884
208,0.264423
209,0.239234
210,0.300000
211,0.241706
212,0.221698
213,0.267606
214,0.313084
215,0.293023
216,0.287037
217,0.327189
218,0.243119
219,0.251142
220,0.240909
221,0.253394
222,0.279279
223,0.264574
224,0.281250
225,0.208889
226,0.252212
227,0.277533
228,0.267544
229,0.292576
230,0.221739
231,0.294372
232,0.280172
233,0.304721
