n,P_approx_2_alter(2.3.n)
1,0.000000
2,0.000000
3,0.333333
4,0.250000
5,0.600000
6,0.250000
7,0.142857
8,0.250000
9,0.234568
10,0.110000
11,0.115702
12,0.312500
13,0.218935
14,0.357143
15,0.195556
16,0.257812
17,0.207612
18,0.419753
19,0.288089
20,0.180000
21,0.167800
22,0.404959
23,0.156900
24,0.265625
25,0.532800
26,0.260355
27,0.253772
28,0.172194
29,0.325803
30,0.294444
31,0.309053
32,0.213867
33,0.235078
34,0.311419
35,0.370612
36,0.226080
37,0.383492
38,0.184903
39,0.332676
40,0.340000
41,0.207020
42,0.198980
43,0.275825
44,0.264463
45,0.236543
46,0.246219
47,0.245813
48,0.210937
49,0.206164
50,0.184800
51,0.300269
52,0.275148
53,0.278747
54,0.328875
55,0.281322
56,0.258929
57,0.227455
58,0.412307
59,0.233841
60,0.374444
61,0.234077
62,0.258065
63,0.431595
64,0.315918
65,0.202130
66,0.354454
67,0.231009
68,0.301471
69,0.264230
70,0.224898
71,0.267011
72,0.205054
73,0.260837
74,0.300950
75,0.301511
76,0.223857
77,0.282341
78,0.213840
79,0.232014
80,0.260156
81,0.249352
82,0.249256
83,0.276383
84,0.220380
85,0.269758
86,0.271769
87,0.223676
88,0.193569
89,0.270168
90,0.248025
91,0.201787
92,0.232042
93,0.228234
94,0.291082
95,0.297839
96,0.281793
97,0.269529
98,0.285506
99,0.351597
100,0.261300
101,0.286148
102,0.217705
103,0.332831
104,0.242326
105,0.272562
106,0.232556
107,0.301773
108,0.329733
109,0.271526
110,0.258678
111,0.307930
112,0.286830
113,0.288981
114,0.219760
115,0.226616
116,0.259364
117,0.312075
118,0.315211
119,0.322929
120,0.330694
121,0.296906
122,0.235757
123,0.275630
124,0.279071
125,0.265472
126,0.219325
127,0.226114
128,0.310669
129,0.271138
130,0.264615
131,0.251908
132,0.287362
133,0.237605
134,0.278626
135,0.323128
136,0.268274
137,0.248228
138,0.247532
139,0.320998
140,0.233010
141,0.234797
142,0.282236
143,0.269989
144,0.307677
145,0.265351
146,0.180850
147,0.270767
148,0.258446
149,0.205531
150,0.251778
151,0.290733
152,0.249524
153,0.278867
154,0.278883
155,0.289032
156,0.266026
157,0.274737
158,0.322665
159,0.244729
160,0.284492
161,0.281972
162,0.308109
163,0.279235
164,0.278926
165,0.252231
166,0.279358
167,0.239557
168,0.255527
169,0.271489
170,0.212768
171,0.299956
172,0.269098
173,0.264392
174,0.269487
175,0.272261
176,0.261267
177,0.297009
178,0.238101
179,0.269623
180,0.259784
181,0.239126
182,0.295013
183,0.255636
184,0.267811
185,0.236581
186,0.242687
187,0.250050
188,0.249095
189,0.274264
190,0.279778
191,0.279789
192,0.331489
193,0.294156
194,0.293310
195,0.250020
196,0.297350
197,0.278647
198,0.260382
199,0.288503
200,0.240325
201,0.276577
202,0.295927
203,0.299206
204,0.271963
205,0.239762
206,0.256692
207,0.306005
208,0.258460
209,0.301000
210,0.275533
211,0.265650
212,0.315303
213,0.262580
214,0.271421
215,0.241990
216,0.254265
217,0.295164
218,0.254587
219,0.255958
220,0.289008
221,0.246432
222,0.251035
223,0.265097
224,0.301180
225,0.338706
226,0.246495
227,0.282947
228,0.253193
229,0.268263
230,0.289622
231,0.272858
232,0.310698
233,0.251101
234,0.250128
235,0.268954
236,0.261778
237,0.262689
238,0.305363
239,0.284361
240,0.280104
241,0.263029
242,0.285158
243,0.280614
244,0.249698
245,0.255394
246,0.278042
247,0.252635
248,0.272925
249,0.273770
250,0.274640
251,0.298583
252,0.258834
253,0.314503
254,0.253224
255,0.336594
256,0.210739
257,0.283623
258,0.265609
259,0.283463
260,0.286790
261,0.226934
262,0.256526
263,0.281672
264,0.260001
265,0.234404
266,0.254876
267,0.246125
268,0.261431
269,0.309421
270,0.245267
271,0.241949
272,0.246080
273,0.291725
274,0.263080
275,0.293302
276,0.271109
277,0.249919
278,0.295870
279,0.238075
280,0.291212
281,0.272628
282,0.232043
283,0.273858
284,0.287753
285,0.269991
286,0.278278
287,0.236230
288,0.278441
289,0.231020
290,0.252247
291,0.289475
292,0.245836
293,0.277790
294,0.297052
295,0.288480
296,0.262532
297,0.256913
298,0.282803
299,0.278811
300,0.245000
301,0.281454
302,0.286786
303,0.306669
304,0.227796
305,0.239140
306,0.257369
307,0.260024
308,0.267182
309,0.269729
310,0.280780
311,0.256201
312,0.287188
313,0.281803
314,0.263844
315,0.280695
316,0.278381
317,0.239360
318,0.256003
319,0.279930
320,0.241924
321,0.279481
322,0.276938
323,0.284283
324,0.254906
325,0.247858
326,0.259889
327,0.262670
328,0.286743
329,0.246561
330,0.270239
331,0.248437
332,0.266811
333,0.260801
334,0.273540
335,0.280151
336,0.286272
337,0.270787
338,0.270710
339,0.258726
340,0.258746
341,0.250127
342,0.275495
343,0.259229
344,0.271076
345,0.275556
346,0.264944
347,0.274714
348,0.252832
349,0.252724
350,0.271069
351,0.272904
352,0.267376
353,0.258248
354,0.299499
355,0.262146
356,0.262672
357,0.256000
358,0.257881
359,0.274455
360,0.261188
361,0.279471
362,0.256303
363,0.276613
364,0.263132
365,0.283415
366,0.308168
367,0.305296
368,0.280541
369,0.268109
370,0.251140
371,0.262647
372,0.284867
373,0.247368
374,0.290929
375,0.214457
376,0.263843
377,0.273463
378,0.268540
379,0.259264
380,0.248019
381,0.299488
382,0.280139
383,0.270409
384,0.246060
385,0.261339
386,0.250034
387,0.290120
388,0.259100
389,0.257915
390,0.272012
391,0.244497
392,0.260881
393,0.258946
394,0.253936
395,0.261618
396,0.272517
397,0.241052
398,0.259564
399,0.243818
400,0.273675
401,0.237710
402,0.270043
403,0.291677
404,0.271965
405,0.249657
406,0.238874
407,0.245887
408,0.252962
409,0.233392
410,0.242481
411,0.270434
412,0.237652
413,0.283698
414,0.253927
415,0.268480
416,0.299233
417,0.280639
418,0.269579
419,0.271564
420,0.237375
421,0.260899
422,0.302015
423,0.262959
424,0.283492
425,0.272393
426,0.242974
427,0.235678
428,0.270127
429,0.270967
430,0.271677
431,0.260862
432,0.274863
433,0.294556
434,0.236462
435,0.255083
436,0.274640
437,0.245600
438,0.273509
439,0.253008
440,0.252180
441,0.251156
442,0.263452
443,0.269046
444,0.254920
445,0.280919
446,0.279470
447,0.242051
448,0.277139
449,0.260232
450,0.270844
451,0.293509
452,0.277528
453,0.245452
454,0.253294
455,0.273996
456,0.279355
457,0.279704
458,0.264006
459,0.257736
460,0.260340
461,0.299481
462,0.256447
463,0.301550
464,0.265639
465,0.257500
466,0.252970
467,0.266368
468,0.257314
469,0.264633
470,0.252345
471,0.236769
472,0.252383
473,0.263788
474,0.282149
475,0.254750
476,0.264556
477,0.251810
478,0.247658
479,0.220771
480,0.248511
481,0.248668
482,0.263089
483,0.258855
484,0.279276
485,0.274269
486,0.271495
487,0.250075
488,0.283144
489,0.247745
490,0.256464
491,0.258519
492,0.257044
493,0.262725
494,0.253848
495,0.250256
496,0.252540
497,0.309300
498,0.281447
499,0.274927
500,0.273988
501,0.252788
502,0.269182
503,0.263433
504,0.254358
505,0.290132
506,0.301180
507,0.272765
508,0.290226
509,0.277187
510,0.259220
511,0.261438
512,0.256340
513,0.291205
514,0.254739
515,0.245788
516,0.268726
517,0.266973
518,0.256034
519,0.264645
520,0.280973
521,0.264827
522,0.253380
523,0.259541
524,0.250361
525,0.272319
526,0.287267
527,0.243979
528,0.266464
529,0.257932
530,0.255700
531,0.266026
532,0.281722
533,0.254089
534,0.272121
535,0.267258
536,0.264529
537,0.260784
538,0.264255
539,0.262246
540,0.285202
541,0.269652
542,0.270156
543,0.298376
544,0.284626
545,0.279741
546,0.235355
547,0.263869
548,0.279870
549,0.248247
550,0.273983
551,0.268049
552,0.261894
553,0.230915
554,0.270194
555,0.265144
556,0.262907
557,0.250380
558,0.237943
559,0.282072
560,0.277650
561,0.248334
562,0.259046
563,0.282577
564,0.254175
565,0.253323
566,0.264887
567,0.257321
568,0.258794
569,0.264346
570,0.250071
571,0.246825
572,0.262268
573,0.275340
574,0.268672
575,0.259633
576,0.254937
577,0.294922
578,0.279448
579,0.279345
580,0.249269
581,0.282450
582,0.273692
583,0.254442
584,0.269369
585,0.256892
586,0.261477
587,0.253598
588,0.258006
589,0.272843
590,0.256490
591,0.267985
592,0.263979
593,0.254851
594,0.263819
595,0.281356
596,0.283045
597,0.251876
598,0.274924
599,0.255306
600,0.256092
601,0.257444
602,0.246333
603,0.260373
604,0.268856
605,0.260949
606,0.258499
607,0.260986
608,0.259495
609,0.257406
610,0.248852
611,0.268774
612,0.261491
613,0.266400
614,0.258480
615,0.272822
616,0.290735
617,0.286425
618,0.257124
619,0.293775
620,0.270094
621,0.246509
622,0.252026
623,0.235365
624,0.259027
625,0.282173
626,0.261414
627,0.271651
628,0.270825
629,0.278204
630,0.258889
631,0.286414
632,0.224654
633,0.255128
634,0.273809
635,0.246294
636,0.277358
637,0.280955
638,0.244008
639,0.269873
640,0.266802
641,0.279271
642,0.243995
643,0.278458
644,0.281560
645,0.262939
646,0.269496
647,0.281107
648,0.275987
649,0.276937
650,0.280071
651,0.259015
652,0.266415
653,0.272886
654,0.270184
655,0.270117
656,0.274999
657,0.257638
658,0.286807
659,0.280763
660,0.257952
661,0.287535
662,0.273736
663,0.274621
664,0.248058
665,0.289231
666,0.280010
667,0.247819
668,0.267018
669,0.249877
670,0.266017
671,0.259790
672,0.249342
673,0.273151
674,0.274498
675,0.258675
676,0.274675
677,0.281147
678,0.276808
679,0.273240
680,0.249204
681,0.285507
682,0.254008
683,0.258555
684,0.280071
685,0.257177
686,0.270918
687,0.254368
688,0.295607
689,0.264467
690,0.264974
691,0.272974
692,0.257507
693,0.264009
694,0.262850
695,0.251546
696,0.263253
697,0.275536
698,0.259602
699,0.272218
700,0.273541
701,0.267476
702,0.276690
703,0.262112
704,0.228314
705,0.257756
706,0.279516
707,0.261543
708,0.286795
709,0.263917
710,0.256935
711,0.265354
712,0.265487
713,0.261442
714,0.285720
715,0.271784
716,0.261033
717,0.257074
718,0.283998
719,0.247291
720,0.249441
721,0.255270
722,0.282907
723,0.259745
724,0.263387
725,0.286202
726,0.247344
727,0.257840
728,0.262632
729,0.267930
730,0.260803
731,0.269486
732,0.241613
733,0.275219
734,0.262024
735,0.242958
736,0.268252
737,0.287314
738,0.273278
739,0.282198
740,0.260924
741,0.259687
742,0.244032
743,0.257298
744,0.255810
745,0.268527
746,0.268425
747,0.278582
748,0.266155
749,0.264531
750,0.262885
751,0.279668
752,0.249639
753,0.281639
754,0.251594
755,0.248712
756,0.251548
757,0.245035
758,0.247003
759,0.265555
760,0.297516
761,0.256225
762,0.265574
763,0.241452
764,0.258061
765,0.266568
766,0.264238
767,0.278871
768,0.262277
769,0.273244
770,0.267227
771,0.255114
772,0.272705
773,0.275669
774,0.262695
775,0.249374
776,0.284078
777,0.264521
778,0.260643
779,0.280471
780,0.252747
781,0.256879
782,0.285555
783,0.271370
784,0.271490
785,0.278319
786,0.261514
787,0.258240
788,0.262798
789,0.241831
790,0.265336
791,0.260366
792,0.276080
793,0.253496
794,0.254830
795,0.245307
796,0.259864
797,0.274762
798,0.262426
799,0.261709
800,0.271898
801,0.265039
802,0.276206
803,0.264115
804,0.252076
805,0.252924
806,0.243921
807,0.244307
808,0.254076
809,0.263691
810,0.275787
811,0.272289
812,0.269849
813,0.263159
814,0.259066
815,0.269049
816,0.251386
817,0.252517
818,0.277124
819,0.292292
820,0.221740
821,0.271424
822,0.280384
823,0.274093
824,0.290599
825,0.267072
826,0.274357
827,0.278389
828,0.274863
829,0.254966
830,0.254419
831,0.280324
832,0.273676
833,0.270732
834,0.257269
835,0.271730
836,0.284358
837,0.277603
838,0.269055
839,0.256618
840,0.272171
841,0.265040
842,0.283693
843,0.264738
844,0.260817
845,0.263435
846,0.264029
847,0.276080
848,0.272826
849,0.271613
850,0.269576
851,0.273633
852,0.270106
853,0.261564
854,0.282122
855,0.238040
856,0.277790
857,0.280330
858,0.280486
859,0.269641
860,0.266092
861,0.252657
862,0.263469
863,0.247607
864,0.290219
865,0.263921
866,0.287481
867,0.277500
868,0.277335
869,0.269712
870,0.294318
871,0.268976
872,0.263477
873,0.262683
874,0.274058
875,0.259080
876,0.251968
877,0.248385
878,0.277168
879,0.281092
880,0.270582
881,0.263685
882,0.238431
883,0.257056
884,0.257541
885,0.283655
886,0.278885
887,0.261923
888,0.272562
889,0.241274
890,0.251953
891,0.263392
892,0.263577
893,0.258465
894,0.274209
895,0.276728
896,0.267882
897,0.273622
898,0.256624
899,0.306434
900,0.264169
901,0.280619
902,0.273954
903,0.248339
904,0.275736
905,0.264694
906,0.282969
907,0.273512
908,0.247743
909,0.275654
910,0.278423
911,0.260312
912,0.267552
913,0.258396
914,0.293335
915,0.276356
916,0.268179
917,0.283737
918,0.273276
919,0.266825
920,0.260282
921,0.268451
922,0.275052
923,0.265440
924,0.257897
925,0.258881
926,0.249327
927,0.264469
928,0.279365
929,0.264317
930,0.255579
931,0.254080
932,0.263069
933,0.266135
934,0.261316
935,0.270685
936,0.251784
937,0.261371
938,0.256610
939,0.264804
940,0.241739
941,0.255580
942,0.276109
943,0.265289
944,0.255493
945,0.273923
946,0.270188
947,0.271971
948,0.283703
949,0.279550
950,0.275806
951,0.268384
952,0.253531
953,0.264956
954,0.263848
955,0.261039
956,0.264234
957,0.271888
958,0.260729
959,0.248857
960,0.267292
961,0.270150
962,0.281646
963,0.270419
964,0.259385
965,0.278607
966,0.263915
967,0.282678
968,0.284467
969,0.265836
970,0.289199
971,0.268538
972,0.259489
973,0.268982
974,0.242492
975,0.260699
976,0.270995
977,0.276013
978,0.252951
979,0.269965
980,0.254100
981,0.269154
982,0.270669
983,0.273822
984,0.251850
985,0.256091
986,0.263430
987,0.263632
988,0.255865
989,0.261606
990,0.281598
991,0.253987
992,0.270069
993,0.288972
994,0.267434
995,0.290250
996,0.272472
997,0.279180
998,0.267404
999,0.271336
1000,0.284180
1001,0.267984
1002,0.279085
1003,0.265138
1004,0.272418
1005,0.272638
1006,0.269896
1007,0.263408
1008,0.237780
1009,0.274304
1010,0.255612
1011,0.286265
1012,0.288138
1013,0.251199
1014,0.265121
1015,0.251901
1016,0.262866
1017,0.269035
1018,0.270358
1019,0.268117
1020,0.260231
1021,0.259432
1022,0.262894
1023,0.255899
1024,0.294266
1025,0.256701
1026,0.263735
1027,0.279717
1028,0.259748
1029,0.285381
1030,0.282126
1031,0.261934
1032,0.256784
1033,0.260477
1034,0.267952
1035,0.267734
1036,0.261270
1037,0.267540
1038,0.283561
1039,0.272200
1040,0.280068
1041,0.272300
1042,0.263262
1043,0.284724
1044,0.259471
1045,0.248239
1046,0.262524
1047,0.269933
1048,0.265077
1049,0.275826
1050,0.278968
1051,0.261036
1052,0.260717
1053,0.272136
1054,0.242176
1055,0.254727
1056,0.267674
1057,0.261169
1058,0.257142
1059,0.275312
1060,0.264481
1061,0.275388
1062,0.265640
1063,0.263525
1064,0.266645
1065,0.272248
1066,0.259870
1067,0.261945
1068,0.285055
1069,0.257588
1070,0.292273
